mssg_size, time, time_rle,time_rot13,time_rle2,
1, 0.004, 0.001,0.001,0,
2, 0.002, 0.001,0,0,
3, 0.008, 0.001,0.001,0.001,
4, 0.008, 0.001,0,0.001,
5, 0.011, 0.001,0.001,0,
6, 0.013, 0.002,0,0.001,
7, 0.013, 0.002,0,0.001,
8, 0.017, 0.002,0,0.001,
9, 0.019, 0.002,0,0.002,
10, 0.019, 0.002,0,0.002,
11, 0.024, 0.005,0,0.001,
12, 0.033, 0.003,0.001,0.001,
13, 0.02, 0.002,0.001,0,
14, 0.024, 0.005,0.001,0.001,
15, 0.022, 0.003,0,0.002,
16, 0.021, 0.004,0,0.002,
17, 0.022, 0.004,0,0.001,
18, 0.025, 0.004,0,0.001,
19, 0.027, 0.003,0,0.002,
20, 0.026, 0.01,0,0.002,
21, 0.03, 0.005,0,0.001,
22, 0.031, 0.004,0.001,0.001,
23, 0.03, 0.008,0,0.001,
24, 0.033, 0.005,0,0.001,
25, 0.047, 0.006,0.001,0.001,
26, 0.048, 0.007,0,0.001,
27, 0.044, 0.007,0,0.002,
28, 0.038, 0.008,0.001,0.001,
29, 0.053, 0.006,0,0.001,
30, 0.045, 0.007,0,0.002,
31, 0.045, 0.007,0,0.001,
32, 0.044, 0.006,0,0.001,
33, 0.035, 0.007,0,0.001,
34, 0.033, 0.007,0,0.001,
35, 0.033, 0.006,0,0.001,
36, 0.036, 0.007,0,0.001,
37, 0.035, 0.007,0.001,0,
38, 0.044, 0.008,0,0.001,
39, 0.051, 0.014,0,0.001,
40, 0.035, 0.009,0,0.001,
41, 0.037, 0.006,0,0.001,
42, 0.043, 0.008,0.001,0.002,
43, 0.037, 0.007,0.002,0.001,
44, 0.046, 0.009,0.001,0.001,
45, 0.039, 0.009,0.001,0.002,
46, 0.059, 0.011,0.001,0.001,
47, 0.06, 0.013,0.001,0.001,
48, 0.056, 0.009,0.002,0.001,
49, 0.047, 0.008,0.001,0.002,
50, 0.047, 0.008,0.001,0.003,
51, 0.053, 0.01,0.002,0.001,
52, 0.04, 0.009,0.001,0.002,
53, 0.061, 0.011,0.001,0.001,
54, 0.041, 0.009,0.001,0.002,
55, 0.052, 0.012,0.001,0.002,
56, 0.042, 0.009,0.001,0.002,
57, 0.043, 0.009,0.001,0.002,
58, 0.047, 0.01,0.001,0.002,
59, 0.04, 0.01,0.001,0.002,
60, 0.042, 0.013,0.001,0.002,
61, 0.049, 0.016,0.001,0.001,
62, 0.067, 0.01,0.002,0.001,
63, 0.041, 0.012,0.003,0.003,
64, 0.044, 0.01,0.001,0.002,
65, 0.049, 0.012,0.002,0.002,
66, 0.046, 0.012,0,0.002,
67, 0.043, 0.013,0,0.001,
68, 0.044, 0.013,0,0.003,
69, 0.046, 0.013,0,0.001,
70, 0.044, 0.013,0.001,0.001,
71, 0.044, 0.011,0.001,0.001,
72, 0.047, 0.014,0,0.002,
73, 0.046, 0.013,0,0.002,
74, 0.043, 0.016,0,0.002,
75, 0.059, 0.019,0,0.002,
76, 0.065, 0.02,0,0.002,
77, 0.048, 0.014,0.001,0.002,
78, 0.045, 0.019,0,0.002,
79, 0.055, 0.014,0,0.002,
80, 0.046, 0.014,0.001,0.002,
81, 0.06, 0.017,0.001,0.002,
82, 0.055, 0.015,0,0.002,
83, 0.053, 0.015,0.001,0.002,
84, 0.047, 0.016,0.001,0.002,
85, 0.044, 0.017,0.001,0.002,
86, 0.047, 0.016,0.001,0.002,
87, 0.068, 0.016,0.002,0.003,
88, 0.062, 0.023,0.002,0.002,
89, 0.055, 0.017,0.001,0.003,
90, 0.05, 0.016,0.001,0.002,
91, 0.042, 0.017,0.001,0.003,
92, 0.049, 0.016,0.001,0.003,
93, 0.057, 0.016,0.001,0.003,
94, 0.055, 0.017,0.001,0.002,
