mssg_size, time_lzw, 
1, 0.003, 
2, 0.008, 
3, 0.004, 
4, 0.009, 
5, 0.012, 
6, 0.026, 
7, 0.028, 
8, 0.026, 
9, 0.022, 
10, 0.024, 
11, 0.025, 
12, 0.028, 
13, 0.038, 
14, 0.047, 
15, 0.042, 
16, 0.048, 
17, 0.044, 
18, 0.045, 
19, 0.047, 
20, 0.049, 
21, 0.051, 
22, 0.058, 
23, 0.046, 
24, 0.061, 
25, 0.063, 
26, 0.069, 
27, 0.069, 
28, 0.058, 
29, 0.067, 
30, 0.081, 
31, 0.065, 
32, 0.083, 
33, 0.064, 
34, 0.063, 
35, 0.072, 
36, 0.067, 
37, 0.07, 
38, 0.071, 
39, 0.077, 
40, 0.069, 
41, 0.081, 
42, 0.082, 
43, 0.082, 
44, 0.129, 
45, 0.088, 
46, 0.089, 
47, 0.098, 
48, 0.119, 
49, 0.097, 
50, 0.124, 
51, 0.105, 
52, 0.097, 
53, 0.155, 
54, 0.071, 
55, 0.065, 
56, 0.107, 
57, 0.116, 
58, 0.092, 
59, 0.071, 
60, 0.077, 
61, 0.078, 
62, 0.076, 
63, 0.157, 
64, 0.088, 
65, 0.1, 
66, 0.099, 
67, 0.207, 
68, 0.192, 
69, 0.143, 
70, 0.106, 
71, 0.101, 
72, 0.122, 
73, 0.123, 
74, 0.122, 
75, 0.114, 
76, 0.114, 
77, 0.211, 
78, 0.125, 
79, 0.105, 
80, 0.11, 
81, 0.119, 
82, 0.265, 
83, 0.151, 
84, 0.101, 
85, 0.139, 
86, 0.187, 
87, 0.167, 
88, 0.176, 
89, 0.112, 
90, 0.111, 
91, 0.11, 
92, 0.113, 
93, 0.106, 
94, 0.112, 
95, 0.125, 
96, 0.179, 
97, 0.169, 
98, 0.363, 
99, 0.157, 
100, 0.194, 
